Name;Description
 ANGICO VERMELHO  (Anadenanthera macrocarpa);A árvore Angico Vermelho é de porte médio a grande, comumente encontrado em capoeiras ou na colonização de áreas abertas. A muda de Angico Vermelho apresenta fácil adaptação às quaisquer condições físicas do solo e é indicada para atrair abelhas. No inverno perdem totalmente as folhas. Além disso, o Angico Vermelho possui características ornamentais que a recomendam para o paisagismo em geral.
 Árvores e Arvoretas Exóticas no Brasil;Trata-se da mais completa obra sobre as árvores e arvoretas introduzidas no Brasil oriundas de outros continentes e países para diversos fins, desde os tempos coloniais até os dias de hoje, exceto as árvores frutíferas que já estão contempladas em uma outra obra nossa (Frutas no Brasil).
 Aventuras Verdejantes;Livro infanto juvenil que procura despertar o gosto pelas plantas e o convívio saudável com a natureza.
 Bambu Multiplex (Bambusa multiplex);Bambu muito bom para ornamentar jardins, possui muitas folhas (multiplex) é delicado e de fácil poda. Atinge de 3 a 4 metros de altura quando adulto e é indicado para fechar espaços, formar alamedas, barreiras ou para simples contemplação.
 Bambu Verde Gigante (Bambusa Vulgaris);Bambu muito bom para formar touceiras densas, ornamentar jardins, além de sombra, tuneis em estradas (catedrais) e para contemplação. Atinge de 8 a 12 metros de altura e tem diâmetro de 12 cm, em media.
 Botânica Sistemática;Guia ilustrado para identificação das famílias de Fanerógamas nativas e exóticas no Brasil, baseado em APG IV. Dedicado principalmente estudantes de graduação e pós-graduação.
 Cora Vai Ao Jardim;Este livro inaugura a coleção ‘Tem criança no Jardim Botânico’. Um livro infantil que motiva, já na infância, amor e respeito pela Natureza.
 Flora Brasileira;Apresenta todas as palmeiras nativas no território brasileiro. Totalmente ilustrado com fotografias coloridas e informações como características gerais, habitat, utilidade, produção de mudas.
 Frutas no Brasil ;Livro ilustrado com cerca de 1020 tipos diferentes de frutas nativas e exóticas cultivadas.
 Guia Das Plantas Do Cerrado;A flora do cerrado também é uma das mais belas do mundo. Só que poucos são capazes de reconhecer até mesmo as espécies mais comuns. Este guia apresenta fotos das espécies mais comuns nos cerrados de todo o Brasil, além de textos para auxiliar na identificação das espécies e um panorama geral sobre este ambiente, seus tipos principais, as ameaças e o que pode ser feito para sua conservação. O guia inclui cerca de 600 páginas e mais de 1.400 espécies ilustradas.
 Manual de Identificação e Controle de Plantas Daninhas;Manual prático e ilustrado que expõe o comportamento variável dos herbicidas no controle das plantas daninhas e que auxilia também na identificação das mesmas.
 Morfologia Vegetal;Idealizado com o intuito de facilitar a interpretação dos padrões morfológicos. Juntamente com cada ilustração em nanquim, apresentamos fotografias de plantas reais para melhor ilustrar suas formas.
 Panc Gourmet  -Ensaios Culinários;Obra inédita de ensaios gastronômicos contemplando ingredientes PANC em uma coletânia de pratos Gourmet testados e aprovados.
 PATA DE VACA BRANCA (Bauhinea forticata );A espécie amazônica conhecida como Pata-de-Vaca (Bauhimia forficata link), usada popularmente como planta medicinal. Planta de florada exuberante tem grande apelo paisagístico.
 Plantas para Jardim no Brasil;Este livro substitui o ‘Plantas Ornamentais no Brasil’. É um livro destinado aqueles que se dedicam à jardinagem e ao paisagismo, tanto na qualidade de amadores como de profissionais.
 Plantas Tóxicas;Contém 90 espécies de plantas responsáveis por intoxicações, com suas respectivas fotografias, nomes científicos, sinonímia botânica, nomes populares, sintomatologia, prevenção, tratamento e outros.
 Quem Tem Medo de Abelha?;Livro infantil da coleção ‘Tem Criança no Jardim Botânico’. Um livro infantil que motiva, já na infância, amor e respeito pela Natureza.
10 plantas fáceis de cuidar - Com E-book;
101 Belas Orquideas Livro 1;O Guia Indispensável de 101 Gêneros: Confira no Volume 1 (A a C): - Acianthera - Aerangis - Aerides - Anathallis - Angraecum - Anoectochilus - Arpophyllum - Arundina - Aspasia - Barbosella - Bifrenaria - Brassavola - Brassia - Bryobium - Bulbophyllum - Caladenia
101 Belas Orquideas Livro 2;O Guia Indispensável de 101 Gêneros: Confira no Volume 2 (C a D): - Calanthe - Campanulorchis - Catasetum - Cattleya - Chiloschista - Chysis - Cirrhaea - Coelogyne - Coryanthes - Cuitlauzina - Cymbidium - Cypripedium - Cyrtopodium - Dactylorhiza - Dendrobium - Dendrochilum - Disa
Name;Description
101 Belas Orquideas Livro 3;O Guia Indispensável de 101 Gêneros: Confira no Volume 3 (D a G): - Dracula - Dryadella - Encyclia -Epidendrum - Epipactis - Eriochilus - Eriopsis - Eulophia - Eurychone - Fernandezia - Galeandra - Galeottia - Gastrochilus - Gomesa - Gongora - Goodyera - Grammatophyllum - Grobya.
Abacaxi Roxo  (Tradescantia Spadothea);
Abélia (Abélia grandiflora);
ABIU AMARELO (Pouteria torta);
ABIU ROXO (Chrysophyllum cainito);
ABÓBORA BRS BRASILEIRINHA  (Cucurbita maxima );O verde-amarelo da abóbora BRS Brasileirinha chama a atenção dos consumidores. O fruto bicolor resulta do desenvolvimento da cultivar pela Embrapa Hortaliças, que tem, além do bonito aspecto visual, excepcional qualidade nutricional (Beta Caroteno + Alfa Caroteno + Luteína) e excelente sabor.
ABRICÓ DA PRAIA (Mimusops commersonii);
ABRICÓ DE MACACO (Couroupita guianenses);O perfume das flores é parecido com o das rosas. Curiosamente, as flores desabrocham diretamente do tronco mesmo que ele esteja cheio de frutas.
ABRICÓ DE MACACO (Couroupita guianeses);
ACÁCIA AUSTRALIANA  (Fabaceae-Mimosoideae);A Acácia mangium, também conhecida também por Acacia Australiana, é útil para arborização, recuperação de solos, sequestro de carbono, produção de carvão vegetal e geração de energia em termelétricas. O pé de acácia flores produzem néctar durante todo o ano, o que facilita o acesso das abelhas, tornando as acácias bastante atraentes para a apicultura.
ACÁCIA IMPERIAL (Cassia fistula.);Originária da Ásia, a Acácia-Amarela (também chamada de cássia-imperial) tem sementes tão perfumadas quanto suas flores — há quem diga que o cheiro lembra o de alcaçuz. De setembro a fevereiro, seus galhos se enchem de cachos amarelos, o que lhe rendeu outro nome popular ainda mais impactante, chuva-de-ouro.
AÇAÍ (Euterpe oleracea);
ACALIFA VERMELHA (Acalypha wilkesiana);
ACEROLA (Malpighia emarginata);
AÇOITA CAVALO MIÚDO (Luehea divvaricata);
ADUBO PARA MANUTENÇÃO - pacote com 70 gramas;
AEONIUM LEUCOBLEPHARUM (Aeonium leucoblepharum);Da família das Crassuláceas, esta suculenta pode crescer 1 metro de altura. As folhas são rosetas com pétalas livre, e flores amarelas em formato de estrelas.
Aeonium Negro (Aeonium Zwartkop - Aeonium arboreum hibrido);O Aeonium Negro, como é conhecido, possui toda sua folhagem em tons escuros voltados ao arroxeado e rubro. Muito chamativo pelas cores que destacam no verde dos jardins.
AGAPANTO AZUL OU BRANCO (Agapanthus africanus);
AGAVE DRAGÃO (Agave attenuata);
Name;Description
Agave Palito (Agave geminiflora);Planta mexicana,  bastante diferente e ornamental,  fica como uma esfera com altura de 70 a 80 cm. Vai em vasos,  rustica, não necessita e muitos cuidados, apenas gosta de sol.
AGAVE POLVO (Agave vilmoriniana);
AGRIAO DA ÁGUA FOLHA LARGA ( Rorippa nasturtium-aqua.ticum);O Agrião contém várias vitaminas dentre as quais: A, C e grupo B (B1, B2, B6 e B12). Possui também outros elementos tais como: ferro, ácido fólico (essencial para uma gravidez saudável), enxofre, potássio, cálcio, fósforo, iodo, beta caroteno (que produz vitamina A) e fibras. O seu potencial em vitamina C é conhecido desde a idade média, onde era usado para combater o escorbuto. Foi recentemente considerado o mais nutritivo de todos os vegetais.
ALAMANDA ROXA (Allamanda blanchetti);
Albízia (Albizia Polycephala);
ALCACHOFRA ROXA ROMANA ( Cynara cardunculus subsp. Scolymus.);A Alcachofra Roxa é uma planta perene e as partes usadas são: folhas, brácteas (flor) e raiz.
ALDRAGO (Pterocarpus violaceus);Planta de floração de muito curta duração, em dois dias desaparece, mas enquanto dura é muito bonita, de um amarelo forte. Isso acontece entre outubro e novembro.
ALDRAGO (Pterocarpus violaceus);
ALECRIM (Rosmarinus officinalis);
ALECRIM DE CAMPINAS (Holocalyx balansae);
